,Keywords,Symptoms
0,airport express,"slow, sluggish performance system wide"
1,airport express,System Wide: Slow or sluggish performance
2,apple pencil,Accessories: Calling for repair options regarding accidental damage to Apple accessories
4,apple pencil,Accessories: Calling for repair options regarding damage to Apple accessories
6,apple pencil,Accessories: Issues with Apple Pencil
13,apple pencil,Accessories: Questions about features or functionality of Apple Pencil
17,apple pencil,Apple Pencil does not draw in Notes app
19,apple pencil,Apple Pencil not detected
21,apple pencil,Apple Pencil tip has physical or accidental damage
23,apple pencil,"ARS: Questions regarding Genius Bar, One to One, or other ARS services"
24,apple pencil,Complaint about Apple Retail Store experience
25,apple pencil,Damage: Tip Damage
27,apple pencil,Delayed response from iPad Pro when using Apple Pencil
28,apple pencil,How to check battery level of Apple Pencil
30,apple pencil,How to pair Apple Pencil
33,apple pencil,How to verify that Apple Pencil is paired with device
35,apple pencil,Inquiring if / when lightning adapter will be sold separately for Apple Pencil
39,apple pencil,No response from iPad Pro when using Apple Pencil
43,apple pencil,"Sales: Purchasing, ordering, or selling a device"
47,apple remote desktop,3rd Party: Questions or issues regarding 3rd party apps
48,apple remote desktop,Apple ID: Issues or questions with Security Questions
49,apple remote desktop,Assistance resetting security questions in order to purchase or download content
50,apple remote desktop,Cannot receive text messages after replacing iPhone with non-Apple phone
51,apple remote desktop,Device has physical or accidental damage
52,apple remote desktop,Inquiring whether the Flappy Bird is still available in the App Store
53,apple remote desktop,iTunes Store: Unexpected or unauthorized charges
54,apple remote desktop,Lost/Stolen device: Request to report to Law Enforcement
55,apple remote desktop,Messages: Cannot receive SMS or MMS messages after switching from iPhone
56,apple remote desktop,Repair options for a cracked or broken display / screen - multiple cracks
57,apple remote desktop,Report Lost/Stolen device or other Law Enforcement Requests (iOS)
58,apple remote desktop,Unauthorized charges appear to be from the iTunes Store
59,apple tv,'For You' and 'New' tabs not found in Music app on Apple TV
60,apple tv,'For You' tab not found in Music app on Apple TV
63,apple tv,'Get' button replaced by spinning wheel when attempting to download 3rd party app
64,apple tv,'My List' in 3rd party app 'Netflix' displayed horizontally rather than grid view
65,apple tv,‘A new version of the game is available’ upon launching 3rd party app ‘Dungeon Hunter 5’
67,apple tv,‘A problem occurred while playing this item (10008)’ when playingback content in 3rd party app ‘Netflix’
68,apple tv,‘An error occurred loading this content.’ on Apple TV when attempting to AirPlay video content from 3rd party app ’Sling Player’ on iOS device
69,apple tv,‘An error occurred loading this content’ when playing content within 'YouTube'
